Компания,Категория,Название товара,Цена,Скидочная Цена,Объем,Единицы Измерения
КРЫМСКАЯ-РОЗА,Косметика для лица,Тканевая маска-бустер обновляющая с лавандой и розой,205.0,,0.02,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Матирующий крем на основе гидролата розы от несовершенств кожи,1200.0,,0.05,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Лифтинг-сыворотка на основе гидролата розы для комплексного омоложения,1399.0,,0.03,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Лифтинг-маска на основе гидролата розы для комплексного омоложения,899.0,,0.1,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Антиоксидантный крем на основе гидролата розы для борьбы с последствиями стресса,1399.0,,0.05,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Питательный крем на основе гидролата розы для нормальной и склонной к сухости кожи,899.0,,0.05,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Регенерирующий крем на основе гидролата розы для реактивной кожи,1399.0,,0.05,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Обновляющий тоник на основе гидролата розы для сияния кожи, 200 мл",899.0,,0.2,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Успокаивающая сыворотка на основе гидролата розы для восстановления повреждений кожи,1399.0,,0.03,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Отбеливающий крем на основе гидролата розы для ровного цвета лица,1399.0,,0.05,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Увлажняющий тонер на основе гидролата розы для восстановления pH кожи, 100 мл",649.0,,0.1,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Кремовый эксфолиант на основе гидролата розы для гладкости кожи,899.0,,0.075,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Мицеллярная вода на основе гидролата розы для быстрого очищения без воды, 200 мл",799.0,,0.2,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Увлажняющий тонер на основе гидролата розы для восстановления pH кожи, 200 мл",899.0,,0.2,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Крем для век против темных кругов на основе гидролата розы,1499.0,,0.025,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Увлажняющая маска на основе гидролата розы для интенсивного восстановления, 50 мл",569.0,,0.05,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Увлажняющая маска на основе гидролата розы для интенсивного восстановления,899.0,,0.1,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Гиалуроновый концентрат на основе гидролата розы для глубокого увлажнения,1449.0,,0.03,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Лифтинг-маска на основе гидролата розы для комплексного омоложения, 50 мл",569.0,,0.05,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Крем для век интенсивный на основе гидролата розы для комплексного омоложения,1499.0,,0.025,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Детокс-сыворотка на основе гидролата розы для борьбы с последствиями стресса,1399.0,,0.03,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Пенка для умывания на основе гидролата розы для деликатного очищения,799.0,,0.15,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Обновляющий тоник на основе гидролата розы для сияния кожи, 100 мл",649.0,,0.1,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Средство для интенсивного восстановления на основе гидролата розы для борьбы с последствиями стресса,899.0,,0.05,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Отбеливающий тоник на основе гидролата розы для ровного цвета лица,899.0,,0.2,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,AHA-пилинг на основе гидролата розы для сияния кожи,1499.0,,0.03,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Матирующий мист на основе гидролата розы от несовершенств кожи,799.0,,0.2,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Жидкие патчи под глаза на основе гидролата розы против отеков,1449.0,,0.03,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Молочко для снятия макияжа на основе гидролата розы для мягкого очищения без воды, 200мл",799.0,,0.2,литр
